"gt","group","estimates","model","direction","threshold"
586,3,540.238822245337,"poisson","both",0.1
550,2,568.17279316679,"poisson","both",0.1
94,5,110.486575470241,"poisson","both",0.1
9206,1,9177.50236876865,"NB","both",0.1
1677,4,1678.62883779575,"NB","both",0.1
586,3,540.245648832325,"NB","both",0.1
550,2,554.163775375035,"NB","both",0.1
94,5,110.483451671669,"NB","both",0.1
9206,1,9177.30182117801,"poisson","forward",0.05
1677,4,1678.63163600568,"poisson","forward",0.05
586,3,540.238822245337,"poisson","forward",0.05
550,2,568.17279316679,"poisson","forward",0.05
94,5,110.486575470241,"poisson","forward",0.05
9206,1,9177.50236876865,"NB","forward",0.05
1677,4,1678.62883779575,"NB","forward",0.05
586,3,540.245648832325,"NB","forward",0.05
550,2,554.163775375035,"NB","forward",0.05
94,5,110.483451671669,"NB","forward",0.05
9206,1,9177.30182117801,"poisson","forward",0.1
1677,4,1678.63163600568,"poisson","forward",0.1
586,3,540.238822245337,"poisson","forward",0.1
550,2,568.17279316679,"poisson","forward",0.1
94,5,110.486575470241,"poisson","forward",0.1
9206,1,9177.50236876865,"NB","forward",0.1
1677,4,1678.62883779575,"NB","forward",0.1
586,3,540.245648832325,"NB","forward",0.1
550,2,554.163775375035,"NB","forward",0.1
94,5,110.483451671669,"NB","forward",0.1
9206,1,9147.30260526974,"poisson","backward",0.05
1677,4,1681.03995372064,"poisson","backward",0.05
586,3,542.104435470025,"poisson","backward",0.05
550,2,548.720078374426,"poisson","backward",0.05
94,5,101.748932359688,"poisson","backward",0.05
9206,1,9147.66904052726,"NB","backward",0.05
1677,4,1681.05110832812,"NB","backward",0.05
586,3,542.121395545858,"NB","backward",0.05
550,2,548.726519968259,"NB","backward",0.05
94,5,101.739393915479,"NB","backward",0.05
9206,1,9147.30260526974,"poisson","backward",0.1
1677,4,1681.03995372064,"poisson","backward",0.1
586,3,542.104435470025,"poisson","backward",0.1
550,2,548.720078374426,"poisson","backward",0.1
94,5,101.748932359688,"poisson","backward",0.1
9206,1,9147.66904052726,"NB","backward",0.1
1677,4,1681.05110832812,"NB","backward",0.1
586,3,542.121395545858,"NB","backward",0.1
550,2,548.726519968259,"NB","backward",0.1
94,5,101.739393915479,"NB","backward",0.1
9206,1,9177.30182117801,"poisson","both",0.05
1677,4,1678.63163600568,"poisson","both",0.05
586,3,540.238822245337,"poisson","both",0.05
550,2,568.17279316679,"poisson","both",0.05
94,5,110.486575470241,"poisson","both",0.05
9206,1,9177.50236876865,"NB","both",0.05
1677,4,1678.62883779575,"NB","both",0.05
586,3,540.245648832325,"NB","both",0.05
550,2,554.163775375035,"NB","both",0.05
94,5,110.483451671669,"NB","both",0.05
9206,1,9177.30182117801,"poisson","both",0.1
1677,4,1678.63163600568,"poisson","both",0.1
586,3,540.238822245337,"poisson","both",0.1
550,2,568.17279316679,"poisson","both",0.1
94,5,110.486575470241,"poisson","both",0.1
9206,1,9177.50236876865,"NB","both",0.1
1677,4,1678.62883779575,"NB","both",0.1
586,3,540.245648832325,"NB","both",0.1
550,2,554.163775375035,"NB","both",0.1
94,5,110.483451671669,"NB","both",0.1
9206,1,9124.13638816755,"poisson","forward",0.05
1677,4,1688.93846227984,"poisson","forward",0.05
586,3,543.958756336841,"poisson","forward",0.05
550,2,558.167779271199,"poisson","forward",0.05
94,5,108.084146209757,"poisson","forward",0.05
9206,1,9124.47861320514,"NB","forward",0.05
1677,4,1688.92289802106,"NB","forward",0.05
586,3,543.96008757313,"NB","forward",0.05
550,2,558.184407399141,"NB","forward",0.05
94,5,108.080406705425,"NB","forward",0.05
9206,1,9124.13638816755,"poisson","forward",0.1
1677,4,1688.93846227984,"poisson","forward",0.1
586,3,543.958756336841,"poisson","forward",0.1
550,2,558.167779271199,"poisson","forward",0.1
94,5,108.084146209757,"poisson","forward",0.1
9206,1,9124.47861320514,"NB","forward",0.1
1677,4,1688.92289802106,"NB","forward",0.1
586,3,543.96008757313,"NB","forward",0.1
550,2,558.184407399141,"NB","forward",0.1
94,5,108.080406705425,"NB","forward",0.1
9206,1,9153.93095294863,"poisson","backward",0.05
1677,4,1688.93846227984,"poisson","backward",0.05
586,3,550.479960269195,"poisson","backward",0.05
550,2,556.858618059143,"poisson","backward",0.05
94,5,107.325670562801,"poisson","backward",0.05
9206,1,9155.06410301588,"NB","backward",0.05
1677,4,1688.92289802106,"NB","backward",0.05
586,3,550.534036633205,"NB","backward",0.05
550,2,556.860694876886,"NB","backward",0.05
94,5,107.246368379506,"NB","backward",0.05
9206,1,9153.93095294863,"poisson","backward",0.1
1677,4,1688.93846227984,"poisson","backward",0.1
586,3,550.479960269195,"poisson","backward",0.1
550,2,556.858618059143,"poisson","backward",0.1
94,5,107.325670562801,"poisson","backward",0.1
9206,1,9155.06410301588,"NB","backward",0.1
1677,4,1688.92289802106,"NB","backward",0.1
586,3,550.534036633205,"NB","backward",0.1
550,2,556.860694876886,"NB","backward",0.1
94,5,107.246368379506,"NB","backward",0.1
9206,1,9124.13638816755,"poisson","both",0.05
1677,4,1688.93846227984,"poisson","both",0.05
586,3,543.958756336841,"poisson","both",0.05
550,2,558.167779271199,"poisson","both",0.05
94,5,108.084146209757,"poisson","both",0.05
9206,1,9124.47861320514,"NB","both",0.05
1677,4,1688.92289802106,"NB","both",0.05
586,3,543.96008757313,"NB","both",0.05
550,2,558.184407399141,"NB","both",0.05
94,5,108.080406705425,"NB","both",0.05
9206,1,9124.13638816755,"poisson","both",0.1
1677,4,1688.93846227984,"poisson","both",0.1
586,3,543.958756336841,"poisson","both",0.1
550,2,558.167779271199,"poisson","both",0.1
94,5,108.084146209757,"poisson","both",0.1
9206,1,9124.47861320514,"NB","both",0.1
1677,4,1688.92289802106,"NB","both",0.1
586,3,543.96008757313,"NB","both",0.1
550,2,558.184407399141,"NB","both",0.1
94,5,108.080406705425,"NB","both",0.1
9206,1,9123.64519708466,"poisson","forward",0.05
1677,4,1691.55835207895,"poisson","forward",0.05
586,3,545.462323970086,"poisson","forward",0.05
550,2,561.170058765174,"poisson","forward",0.05
94,5,105.34658975873,"poisson","forward",0.05
9206,1,9132.11866446945,"NB","forward",0.05
1677,4,1691.50094771505,"NB","forward",0.05
586,3,545.453299312181,"NB","forward",0.05
550,2,561.184463565894,"NB","forward",0.05
94,5,105.342009742325,"NB","forward",0.05
9206,1,9123.64519708466,"poisson","forward",0.1
1677,4,1691.55835207895,"poisson","forward",0.1
586,3,545.462323970086,"poisson","forward",0.1
550,2,561.170058765174,"poisson","forward",0.1
94,5,105.34658975873,"poisson","forward",0.1
9206,1,9132.11866446945,"NB","forward",0.1
1677,4,1691.50094771505,"NB","forward",0.1
586,3,545.453299312181,"NB","forward",0.1
550,2,561.184463565894,"NB","forward",0.1
94,5,105.342009742325,"NB","forward",0.1
